Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"생리",생리,,287,37692,0,1,1,1,39.046003
"나오다",나오다,,287,26428,1,1,1,1,39.046003
"먹다",먹다,,287,13712,0,1,1,1,39.046003
"임신",임신,,285,15952,2,2,0.99308,0.996516,36.289432
"병원",병원,,287,14290,0,1,1,1,39.046003
"관계",관계,,286,15642,2,2,0.996528,0.998258,37.297492
"시작",시작,,287,13716,0,1,1,1,39.046003
"걱정",걱정,,286,11534,0,2,0.996528,0.998258,37.297492
"여학생",여학생,,285,11610,1,2,0.99308,0.996516,37.435622
"많다",많다,,284,9636,0,2,0.989655,0.994774,36.826104
"성관계",성관계,,281,9298,2,2,0.979522,0.989547,34.196849
"스트레스",스트레스,,286,10918,0,2,0.996528,0.998258,38.77621
"산부인과",산부인과,,283,10578,0,2,0.986254,0.993031,36.773107
"피",피,,286,9406,1,2,0.996528,0.998258,38.315587
"주",주,,287,10948,0,1,1,1,39.046003
"사정",사정,,282,9014,2,2,0.982877,0.991289,33.997895
"배",배,,285,9266,2,2,0.99308,0.996516,35.958172
"ㅠ",ㅠ,,287,6432,0,1,1,1,39.046003
"생리통",생리통,,273,6410,0,2,0.953488,0.97561,30.976294
"검사",검사,,286,7440,0,2,0.996528,0.998258,38.227213
"증상",증상,,287,8736,2,1,1,1,39.046003
"이번",이번,,284,9462,0,2,0.989655,0.994774,36.751379
"처음",처음,,286,9354,0,2,0.996528,0.998258,37.297492
..?,..?,,284,7852,0,2,0.989655,0.994774,37.158763
"콘돔",콘돔,,278,9498,2,2,0.969595,0.984321,31.252188
"끝나다",끝나다,,287,8936,1,1,1,1,39.046003
"일",일,,287,9288,0,1,1,1,39.046003
"여자친구",여자친구,,238,4114,2,2,0.854167,0.914634,17.970613
"다시",다시,,287,7454,0,1,1,1,39.046003
"안해",안해,,282,7718,0,2,0.982877,0.991289,34.879404
"날",날,,287,8712,2,1,1,1,39.046003
"괜찮다",괜찮다,,281,7130,0,2,0.979522,0.989547,35.51917
"심하다",심하다,,285,7278,0,2,0.99308,0.996516,37.037133
"주기",주기,,286,8904,0,2,0.996528,0.998258,38.225003
"피임",피임,,279,7080,2,2,0.972881,0.986063,33.192904
"ㅜㅜ",ㅜㅜ,,281,6008,0,2,0.979522,0.989547,34.165687
"이르다",이르다,,282,6398,0,2,0.982877,0.991289,34.483521
"불안하다",불안하다,,285,8002,2,2,0.99308,0.996516,37.532311
"남자친구",남자친구,,280,7280,2,2,0.97619,0.987805,33.63596
"뒤",뒤,,285,7146,0,2,0.99308,0.996516,37.64381
"갈색",갈색,,277,6052,1,2,0.96633,0.982578,32.449886
"가보다",가보다,,277,6302,0,2,0.96633,0.982578,33.170182
"해",해,,283,5646,0,2,0.986254,0.993031,36.000481
"부탁드리다",부탁드리다,,283,6284,2,2,0.986254,0.993031,35.309393
"엔",엔,,280,7020,0,2,0.97619,0.987805,34.298213
"에도",에도,,284,6228,0,2,0.989655,0.994774,36.187558
"지나다",지나다,,283,6306,2,2,0.986254,0.993031,35.015648
"해보다",해보다,,286,6072,2,2,0.996528,0.998258,38.593395
"가능성",가능성,,280,6926,2,2,0.97619,0.987805,32.646536
"무섭다",무섭다,,282,5814,1,2,0.982877,0.991289,35.400894
"일주일",일주일,,285,6622,0,2,0.99308,0.996516,38.433574
"질",질,,271,5108,1,2,0.947195,0.972125,27.968427
"질염",질염,,250,3302,1,2,0.885802,0.93554,22.238596
"적다",적다,,282,5936,0,2,0.982877,0.991289,34.868448
"이라",이라,,282,5790,0,2,0.982877,0.991289,36.147709
"동안",동안,,283,5508,0,2,0.986254,0.993031,35.159015
"양",양,,282,5528,0,2,0.982877,0.991289,36.303835
"냉이",냉이,,268,4720,1,2,0.937908,0.966899,27.257744
"걸다",걸다,,282,4694,0,2,0.982877,0.991289,35.07149
"묻다",묻다,,281,5678,1,2,0.979522,0.989547,34.916312
"싸다",싸다,,264,3870,2,2,0.925806,0.95993,26.643699
"어제",어제,,276,4752,1,2,0.963087,0.980836,32.144409
"아랫",아랫,,281,4904,2,2,0.979522,0.989547,34.372825
"냉",냉,,261,4680,1,2,0.916933,0.954704,24.732861
"째",째,,278,5192,0,2,0.969595,0.984321,34.056315
"건지다",건지다,,273,4054,0,2,0.953488,0.97561,30.910727
"빼다",빼다,,275,4704,2,2,0.959866,0.979094,32.23787
"혈",혈,,271,4668,1,2,0.947195,0.972125,31.276606
"저번",저번,,281,5224,0,2,0.979522,0.989547,35.084859
"개월",개월,,270,3986,0,2,0.944079,0.970383,28.271875
3일,3일,,286,6196,2,2,0.996528,0.998258,38.50955
"없이",없이,,283,5144,2,2,0.986254,0.993031,36.008993
"기",기,,274,4138,2,2,0.956667,0.977352,29.868265
"ㅠㅠㅠ",ㅠㅠㅠ,,278,3834,0,2,0.969595,0.984321,33.996655
"넣다",넣다,,263,4140,2,2,0.92283,0.958188,25.132983
"개",개,,276,4274,0,2,0.963087,0.980836,32.968483
"맺다",맺다,,265,4848,2,2,0.928803,0.961672,25.065191
"마지막",마지막,,283,5786,2,2,0.986254,0.993031,34.331101
"인가",인가,,271,4156,0,2,0.947195,0.972125,30.81028
"기도",기도,,276,4042,0,2,0.963087,0.980836,31.496768
"불규칙하다",불규칙하다,,270,4506,0,2,0.944079,0.970383,28.577926
"작년",작년,,266,4122,0,2,0.931818,0.963415,27.405643
~,~,,278,4172,2,2,0.969595,0.984321,32.91107
"남친",남친,,262,3190,2,2,0.919872,0.956446,25.016538
"넘다",넘다,,275,4284,0,2,0.959866,0.979094,31.958254
"정확하다",정확하다,,275,4756,2,2,0.959866,0.979094,31.552297
"자궁",자궁,,268,3630,0,2,0.937908,0.966899,29.753924
"이유",이유,,262,3024,0,2,0.919872,0.956446,26.085362
"이후",이후,,277,4652,0,2,0.96633,0.982578,30.80876
"나서다",나서다,,273,4454,1,2,0.953488,0.97561,31.24564
"예정일",예정일,,264,4974,2,2,0.925806,0.95993,26.188107
"항상",항상,,269,3436,0,2,0.940984,0.968641,27.35037
"!","!",,262,2438,0,2,0.919872,0.956446,25.671467
"주사",주사,,232,2652,0,2,0.839181,0.904181,17.266411
"안좋다",안좋다,,270,3374,0,2,0.944079,0.970383,28.98146
"가지다",가지다,,267,4162,2,2,0.934853,0.965157,28.264064
"끼다",끼다,,261,4172,2,2,0.916933,0.954704,24.340024
"줄",줄,,277,4068,2,2,0.96633,0.982578,31.119652
"사용",사용,,263,3290,2,2,0.92283,0.958188,27.191699
"끼",끼,,269,4630,2,2,0.940984,0.968641,26.975029
",,",",,",,266,2850,0,2,0.931818,0.963415,27.13755
...?,...?,,250,2576,0,2,0.885802,0.93554,21.580004
"불규칙",불규칙,,265,3642,0,2,0.928803,0.961672,25.1522
"그래도",그래도,,271,3708,0,2,0.947195,0.972125,30.292478
2일,2일,,259,3916,2,2,0.911111,0.95122,23.81131
2월,2월,,260,3390,0,2,0.914013,0.952962,23.559477
"아예",아예,,266,2962,0,2,0.931818,0.963415,25.495608
"삽입",삽입,,258,2766,2,2,0.908228,0.949477,24.583964
"기간",기간,,276,3786,0,2,0.963087,0.980836,32.23447
"딱",딱,,259,3140,0,2,0.911111,0.95122,24.542781
"초경",초경,,244,2858,0,2,0.869697,0.925087,19.499688
"복용",복용,,255,2936,2,2,0.899687,0.944251,22.513944
"한지",한지,,263,2928,0,2,0.92283,0.958188,26.859585
"ㅜ",ㅜ,,243,1910,0,2,0.867069,0.923345,19.882319
"의사",의사,,258,3360,0,2,0.908228,0.949477,24.380129
"처방",처방,,251,3276,0,2,0.888545,0.937282,19.846078
"규칙",규칙,,262,3508,0,2,0.919872,0.956446,26.242398
1월,1월,,263,3580,0,2,0.92283,0.958188,24.035108
"터지다",터지다,,267,3166,0,2,0.934853,0.965157,29.019917
"다음",다음,,270,3164,0,2,0.944079,0.970383,29.426433
"수도",수도,,269,3268,0,2,0.940984,0.968641,27.622387
"조금씩",조금씩,,258,2978,1,2,0.908228,0.949477,24.711826
"빠르다",빠르다,,249,2642,2,2,0.883077,0.933798,23.740323
"쿠퍼액",쿠퍼액,,228,2736,2,2,0.82948,0.897213,13.720064
"불순",불순,,250,2782,0,2,0.885802,0.93554,21.854647
"해봤다",해봤다,,259,2774,0,2,0.911111,0.95122,25.42073
5일,5일,,259,3250,2,2,0.911111,0.95122,25.124521
"가야",가야,,244,2504,0,2,0.869697,0.925087,21.198292
"까지는",까지는,,258,2944,0,2,0.908228,0.949477,24.935378
12월,12월,,263,2830,2,2,0.92283,0.958188,26.311631
"닦다",닦다,,257,3010,1,2,0.905363,0.947735,22.493395
"가면",가면,,247,2468,0,2,0.877676,0.930314,21.392207
"덩어리",덩어리,,229,2206,1,2,0.831884,0.898955,17.248868
"호르몬",호르몬,,246,2476,0,2,0.875,0.928571,21.537928
"증후군",증후군,,252,2852,0,2,0.891304,0.939024,24.441013
8월,8월,,266,3436,2,2,0.931818,0.963415,27.567508
"심해지다",심해지다,,233,2244,0,2,0.841642,0.905923,17.5284
4일,4일,,258,3110,2,2,0.908228,0.949477,21.909275
"이구",이구,,239,1978,0,2,0.856716,0.916376,19.113403
"원인",원인,,251,2636,0,2,0.888545,0.937282,23.196422
"출혈",출혈,,248,2618,1,2,0.880368,0.932056,20.683551
"적도",적도,,254,2876,0,2,0.896875,0.942509,21.403316
"햇",햇,,222,1978,0,2,0.815341,0.88676,12.624936
"한적",한적,,246,2226,0,2,0.875,0.928571,19.593342
9월,9월,,265,3184,2,2,0.928803,0.961672,25.418807
"이틀",이틀,,262,2482,1,2,0.919872,0.956446,26.239145
"생리대",생리대,,252,2790,1,2,0.891304,0.939024,21.328823
7월,7월,,265,3370,0,2,0.928803,0.961672,25.96058
"써다",써다,,253,2706,2,2,0.894081,0.940767,21.446669
"허리",허리,,249,2626,0,2,0.883077,0.933798,21.403047
5월,5월,,259,2828,0,2,0.911111,0.95122,23.381557
"그것",그것,,238,1842,0,2,0.854167,0.914634,18.539962
"찌다",찌다,,222,1688,0,2,0.815341,0.88676,13.352571
"첫",첫,,260,2652,2,2,0.914013,0.952962,24.531114
11월,11월,,250,2676,2,2,0.885802,0.93554,21.878957
"제대로",제대로,,249,2280,0,2,0.883077,0.933798,20.476789
"초음파",초음파,,241,2350,0,2,0.861862,0.919861,17.921317
"양도",양도,,253,2680,0,2,0.894081,0.940767,22.996924
"가기",가기,,241,2164,0,2,0.861862,0.919861,18.975963
"아주",아주,,254,2036,1,2,0.896875,0.942509,24.518396
"며칠",며칠,,224,1922,1,2,0.82,0.890244,14.308659
"안나",안나,,248,2230,0,2,0.880368,0.932056,20.841279
"분비물",분비물,,235,1860,1,2,0.846608,0.909408,18.55845
"확인",확인,,258,2520,2,2,0.908228,0.949477,23.848935
"달동",달동,,232,2040,0,2,0.839181,0.904181,15.153568
"중간",중간,,225,1676,2,2,0.82235,0.891986,16.701997
3월,3월,,253,2480,0,2,0.894081,0.940767,23.718068
"사후",사후,,213,2288,2,2,0.795014,0.87108,10.819718
"배란",배란,,249,2174,2,2,0.883077,0.933798,18.896031
"ㅠㅠㅠㅠ",ㅠㅠㅠㅠ,,245,1922,0,2,0.87234,0.926829,19.941626
"엇",엇,,196,1544,0,2,0.759259,0.841463,7.995422
"만에",만에,,238,2054,0,2,0.854167,0.914634,19.826427
"기다리다",기다리다,,240,1672,0,2,0.859281,0.918118,17.211499
7일,7일,,250,2708,2,2,0.885802,0.93554,21.608352
"비",비,,249,2062,2,2,0.883077,0.933798,21.965469
6월,6월,,255,2368,2,2,0.899687,0.944251,22.146018
"휴지",휴지,,246,2244,1,2,0.875,0.928571,19.029396
"질외",질외,,244,3052,2,2,0.869697,0.925087,19.287835
"ㅠㅜ",ㅠㅜ,,211,1572,0,2,0.790634,0.867596,10.994287
"그거",그거,,238,2244,0,2,0.854167,0.914634,18.782963
"테스트",테스트,,251,2654,2,2,0.888545,0.937282,21.522769
1일,1일,,247,2308,2,2,0.877676,0.930314,19.945502
"확률",확률,,237,2150,2,2,0.851632,0.912892,17.997611
"속옷",속옷,,221,1716,1,2,0.813031,0.885017,12.164455
"확실하다",확실하다,,221,2034,2,2,0.813031,0.885017,14.92851
"색",색,,242,1754,1,2,0.864458,0.921603,19.195897
"뭘",뭘,,236,1626,0,2,0.849112,0.91115,19.042383
4월,4월,,234,2168,0,2,0.844118,0.907666,15.836068
"뛰다",뛰다,,242,2164,0,2,0.864458,0.921603,19.094869
"섞이다",섞이다,,213,1782,1,2,0.795014,0.87108,12.070761
"부정",부정,,233,2062,1,2,0.841642,0.905923,16.588281
"질내사정",질내사정,,239,2734,2,2,0.856716,0.916376,18.635766
"주전",주전,,223,1610,1,2,0.817664,0.888502,13.414429
"몇번",몇번,,244,2370,2,2,0.869697,0.925087,17.648362
"초기",초기,,247,2470,2,2,0.877676,0.930314,19.440345
"다낭",다낭,,214,1706,0,2,0.797222,0.872822,10.930682
"속이다",속이다,,229,1920,2,2,0.831884,0.898955,18.011505
"나타나다",나타나다,,240,1586,2,2,0.859281,0.918118,20.882937
"난소",난소,,196,1392,0,2,0.759259,0.841463,8.981277
/,/,,189,1290,2,2,0.745455,0.829268,7.48312
"진료",진료,,221,1656,0,2,0.813031,0.885017,12.54071
"한데",한데,,231,1558,0,2,0.836735,0.902439,15.674931
"영향",영향,,201,1240,0,2,0.769437,0.850174,9.36511
",,,",",,,",,195,1198,1,2,0.757256,0.839721,8.374349
"토",토,,194,1326,2,2,0.755263,0.837979,10.614714
"까지도",까지도,,220,1506,0,2,0.810734,0.883275,13.021722
"여고생",여고생,,212,1388,0,2,0.792818,0.869338,13.054525
"이라서",이라서,,226,1410,0,2,0.824713,0.893728,15.097059
"많아지다",많아지다,,229,1772,1,2,0.831884,0.898955,15.271433
10월,10월,,245,2110,2,2,0.87234,0.926829,19.039618
"지난",지난,,231,1816,0,2,0.836735,0.902439,14.49307
"지속",지속,,203,1516,0,2,0.773585,0.853659,11.178644
"무엇",무엇,,212,1406,0,2,0.792818,0.869338,11.254982
20일,20일,,207,1674,2,2,0.782016,0.860627,10.994243
10일,10일,,241,2042,0,2,0.861862,0.919861,17.876836
"미루다",미루다,,226,1422,0,2,0.824713,0.893728,13.700093
"찢어지다",찢어지다,,208,1506,2,2,0.784153,0.862369,9.497635
