Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"크다",크다,,168,9146,1,1,1,1,47.232173
"키",키,,167,6624,1,2,0.994083,0.997024,44.198336
"발기",발기,,154,3888,2,2,0.923077,0.958333,33.326783
"남자",남자,,168,4874,0,1,1,1,47.232173
"가슴",가슴,,153,2658,0,2,0.918033,0.955357,34.097202
"살",살,,168,4734,0,1,1,1,47.232173
"성기",성기,,159,3508,2,2,0.949153,0.973214,34.736979
"현재",현재,,167,3946,0,2,0.994083,0.997024,46.07417
"작다",작다,,165,4950,2,2,0.982456,0.991071,41.971131
cm,cm,,163,4344,2,2,0.971098,0.985119,41.64384
"성",성,,166,4116,1,2,0.988235,0.994048,42.793712
"수술",수술,,161,3014,0,2,0.96,0.979167,40.100971
"남학생",남학생,,163,2858,0,2,0.971098,0.985119,41.155449
"고민",고민,,164,2956,2,2,0.976744,0.988095,43.507151
"크기",크기,,159,3540,2,2,0.949153,0.973214,39.100527
"늘다",늘다,,157,2116,1,2,0.938547,0.967262,36.121635
"애",애,,166,2726,1,2,0.988235,0.994048,45.57414
4,4,,166,3082,0,2,0.988235,0.994048,44.099595
100,100,,158,2128,0,2,0.94382,0.970238,35.668457
"커지다",커지다,,161,3122,2,2,0.96,0.979167,40.717001
"올해",올해,,158,2226,0,2,0.94382,0.970238,37.509449
"이상",이상,,161,2378,0,2,0.96,0.979167,39.342571
"성장",성장,,162,3132,1,2,0.965517,0.982143,37.905751
"운동",운동,,161,2468,0,2,0.96,0.979167,39.456602
"털",털,,141,1560,1,2,0.861538,0.919643,24.542892
"하나요",하나요,,151,1408,0,2,0.908108,0.949405,32.41839
"멈추다",멈추다,,155,1788,1,2,0.928177,0.96131,32.052117
"음경",음경,,138,1408,2,2,0.848485,0.910714,20.981005
"밖에",밖에,,162,2210,0,2,0.965517,0.982143,37.227549
"나이",나이,,158,1934,0,2,0.94382,0.970238,38.208453
"에요",에요,,153,1644,0,2,0.918033,0.955357,30.816308
"올라가다",올라가다,,161,2146,0,2,0.96,0.979167,39.626474
1년,1년,,143,1708,1,2,0.870466,0.925595,25.475588
20,20,,159,1958,0,2,0.949153,0.973214,36.157738
"센치",센치,,143,1796,1,2,0.870466,0.925595,27.441042
"어느",어느,,154,1746,0,2,0.923077,0.958333,34.751837
"길이",길이,,134,1786,2,2,0.831683,0.89881,20.964826
10,10,,162,2200,0,2,0.965517,0.982143,39.884197
"참고",참고,,154,1532,0,2,0.923077,0.958333,35.38493
"중학교",중학교,,159,1802,0,2,0.949153,0.973214,38.190244
"살이",살이,,150,1652,0,2,0.903226,0.946429,32.195006
"늦다",늦다,,152,1626,1,2,0.913043,0.952381,32.237964
"나중",나중,,151,1680,0,2,0.908108,0.949405,32.074523
"보통",보통,,150,1520,0,2,0.903226,0.946429,29.246143
"언제",언제,,156,1624,1,2,0.933333,0.964286,35.070455
"고요",고요,,136,1242,0,2,0.84,0.904762,22.143726
"몸무게",몸무게,,163,2126,1,2,0.971098,0.985119,40.858091
"주변",주변,,147,1068,0,2,0.888889,0.9375,27.373345
"세",세,,148,1202,0,2,0.893617,0.940476,31.424876
"자라다",자라다,,153,1480,1,2,0.918033,0.955357,31.835559
"차",차,,144,1398,1,2,0.875,0.928571,25.776923
"굵다",굵다,,121,1196,2,2,0.781395,0.860119,12.968549
???,???,,134,876,0,2,0.831683,0.89881,20.863248
"편",편,,136,1042,2,2,0.84,0.904762,25.013716
"남",남,,145,1180,1,2,0.879581,0.931548,28.133904
"법",법,,141,1028,0,2,0.861538,0.919643,24.606787
"털다",털다,,142,1552,1,2,0.865979,0.922619,22.702318
"이면",이면,,140,970,0,2,0.857143,0.916667,26.267136
18,18,,127,1096,0,2,0.803828,0.877976,20.345124
"편이",편이,,135,1006,0,2,0.835821,0.901786,24.146763
"점점",점점,,138,914,0,2,0.848485,0.910714,24.291825
"겨털",겨털,,143,1566,1,2,0.870466,0.925595,23.731327
"비다",비다,,140,1130,0,2,0.857143,0.916667,26.901513
"올라오다",올라오다,,140,972,0,2,0.857143,0.916667,23.048643
"상",상,,134,904,0,2,0.831683,0.89881,20.323315
"아버지",아버지,,136,972,1,2,0.84,0.904762,19.622918
"평균",평균,,122,1036,2,2,0.785047,0.863095,15.254823
"닫히다",닫히다,,104,1010,1,2,0.724138,0.809524,9.85948
"빠지다",빠지다,,123,776,0,2,0.788732,0.866071,17.330767
"비용",비용,,99,460,0,2,0.708861,0.794643,10.543583
"다이어트",다이어트,,121,738,0,2,0.781395,0.860119,17.915849
"예비",예비,,118,648,1,2,0.770642,0.85119,13.17909
7,7,,150,1226,0,2,0.903226,0.946429,31.655191
"어머니",어머니,,117,744,1,2,0.767123,0.848214,13.124941
17,17,,116,850,2,2,0.763636,0.845238,12.233592
"시기",시기,,128,710,1,2,0.807692,0.880952,19.185195
50,50,,125,688,0,2,0.796209,0.872024,17.337557
3년,3년,,115,676,0,2,0.760181,0.842262,14.872451
"점",점,,116,736,0,2,0.763636,0.845238,9.499681
"작",작,,145,1028,0,2,0.879581,0.931548,28.297701
"그대로",그대로,,136,896,0,2,0.84,0.904762,24.212669
15,15,,128,1056,2,2,0.807692,0.880952,18.316286
"자세하다",자세하다,,130,648,0,2,0.815534,0.886905,19.187648
"남성",남성,,117,646,0,2,0.767123,0.848214,15.262573
2년,2년,,129,740,0,2,0.811594,0.883929,18.204639
"맨날",맨날,,125,616,0,2,0.796209,0.872024,14.508631
170,170,,140,1264,1,2,0.857143,0.916667,22.599331
"징",징,,114,850,1,2,0.756757,0.839286,12.559204
"똑같다",똑같다,,114,620,1,2,0.756757,0.839286,11.92692
"비교",비교,,98,712,2,2,0.705882,0.791667,8.760741
"목소리",목소리,,96,420,1,2,0.7,0.785714,6.556574
13,13,,126,1032,2,2,0.8,0.875,17.158269
"비만",비만,,116,766,0,2,0.763636,0.845238,14.586833
"붙다",붙다,,123,700,0,2,0.788732,0.866071,13.717142
"변하다",변하다,,110,492,0,2,0.743363,0.827381,10.571359
"제일",제일,,114,608,0,2,0.756757,0.839286,12.452963
"음모",음모,,105,660,1,2,0.727273,0.8125,9.785692
"펴다",펴다,,119,700,0,2,0.774194,0.854167,14.203833
"또래",또래,,137,1020,1,2,0.844221,0.907738,23.963173
8,8,,130,850,0,2,0.815534,0.886905,18.628059
"장판",장판,,110,916,1,2,0.743363,0.827381,13.950357
"현",현,,114,560,0,2,0.756757,0.839286,13.315786
"판이",판이,,99,796,1,2,0.708861,0.794643,10.128913
"커서",커서,,130,922,0,2,0.815534,0.886905,17.562376
9,9,,131,980,2,2,0.819512,0.889881,18.48221
"중학생",중학생,,123,656,0,2,0.788732,0.866071,16.032418
"중이",중이,,110,528,0,2,0.743363,0.827381,13.841361
"센티",센티,,115,720,2,2,0.760181,0.842262,9.027862
"얇다",얇다,,130,1036,2,2,0.815534,0.886905,17.83097
"건강",건강,,96,510,0,2,0.7,0.785714,8.275018
14,14,,116,762,2,2,0.763636,0.845238,11.790101
"둘레",둘레,,111,816,2,2,0.746667,0.830357,10.48888
12,12,,132,936,2,2,0.823529,0.892857,19.456492
"컵",컵,,90,466,1,2,0.682927,0.767857,7.953127
"겨울",겨울,,104,442,0,2,0.724138,0.809524,10.946891
kg,kg,,112,682,0,2,0.75,0.833333,12.092452
"밥",밥,,107,566,0,2,0.733624,0.818452,10.008039
16,16,,93,518,2,2,0.691358,0.776786,6.86384
165,165,,101,820,1,2,0.714894,0.800595,8.155114
"생기",생기,,115,632,0,2,0.760181,0.842262,13.004064
"무조건",무조건,,79,360,0,2,0.653696,0.735119,5.104972
"까진",까진,,112,548,0,2,0.75,0.833333,11.847114
"좋아지다",좋아지다,,85,332,0,2,0.669323,0.752976,6.514937
40,40,,115,608,1,2,0.760181,0.842262,12.710506
160,160,,117,910,1,2,0.767123,0.848214,13.726696
"저만",저만,,135,800,0,2,0.835821,0.901786,19.670124
"급성",급성,,96,510,1,2,0.7,0.785714,6.820155
"여름",여름,,96,464,0,2,0.7,0.785714,8.320833
"대부분",대부분,,135,876,0,2,0.835821,0.901786,19.537543
"일찍",일찍,,98,500,1,2,0.705882,0.791667,9.565649
"에서도",에서도,,112,576,0,2,0.75,0.833333,8.153321
"전체",전체,,113,604,0,2,0.753363,0.83631,9.998509
"키크",키크,,94,592,1,2,0.694215,0.779762,6.760651
"년도",년도,,80,354,0,2,0.65625,0.738095,5.387863
"요새",요새,,99,374,0,2,0.708861,0.794643,7.794103
"성장기",성장기,,102,548,1,2,0.717949,0.803571,8.513814
"키도",키도,,125,776,1,2,0.796209,0.872024,16.115522
"키로",키로,,111,590,0,2,0.746667,0.830357,11.280688
80,80,,91,486,0,2,0.685714,0.770833,7.373891
"어떻",어떻,,102,422,2,2,0.717949,0.803571,10.982738
"자르다",자르다,,112,606,1,2,0.75,0.833333,12.658205
172,172,,112,748,1,2,0.75,0.833333,13.360861
"나기",나기,,114,610,1,2,0.756757,0.839286,13.060851
"만큼",만큼,,105,428,0,2,0.727273,0.8125,9.952076
3~4,3~4,,91,408,1,2,0.685714,0.770833,7.104457
"고딩",고딩,,90,398,1,2,0.682927,0.767857,5.697888
"라인",라인,,50,324,2,2,0.587413,0.64881,0.451789
"성장하다",성장하다,,107,610,1,2,0.733624,0.818452,9.157258
"확",확,,115,556,1,2,0.760181,0.842262,12.086809
"길어지다",길어지다,,100,568,0,2,0.711864,0.797619,7.029749
"유전",유전,,102,600,1,2,0.717949,0.803571,9.897143
"재",재,,126,722,1,2,0.8,0.875,13.965862
"상관",상관,,100,444,0,2,0.711864,0.797619,11.387653
"우유",우유,,94,520,1,2,0.694215,0.779762,8.083669
"이상은",이상은,,95,390,1,2,0.697095,0.782738,8.437236
"살때",살때,,96,446,0,2,0.7,0.785714,9.09197
"어깨",어깨,,108,502,0,2,0.736842,0.821429,11.663572
"몽우리",몽우리,,67,282,0,2,0.624535,0.699405,3.428972
"사춘기",사춘기,,109,456,1,2,0.740088,0.824405,10.679854
"작아지다",작아지다,,92,416,0,2,0.688525,0.77381,7.61222
"고추",고추,,127,1880,2,2,0.803828,0.877976,16.466444
"발기다",발기다,,130,1190,2,2,0.815534,0.886905,18.417925
"고추가",고추가,,108,948,2,2,0.736842,0.821429,10.125645
"여유증",여유증,,59,402,0,2,0.606498,0.675595,2.658844
"노발",노발,,121,1274,2,2,0.781395,0.860119,13.158735
"몽정",몽정,,106,540,0,2,0.730435,0.815476,7.594179
"변성기",변성기,,128,1018,1,2,0.807692,0.880952,15.182598
"풀발",풀발,,111,1022,2,2,0.746667,0.830357,8.191563
180,180,,123,870,1,2,0.788732,0.866071,16.432377
