Id,Label,timeset,modularity_class,Weighted Degree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
생리,생리,,0,57660,688,1,1,1,79.112946
나오다,나오다,,1,39956,688,1,1,1,79.112946
아프다,아프다,,1,20780,688,1,1,1,79.112946
시작,시작,,0,27340,688,1,1,1,79.112946
초경,초경,,0,16250,686,2,0.997101,0.998547,78.035926
먹다,먹다,,0,13000,686,2,0.997101,0.998547,77.682609
여학생,여학생,,0,17764,686,2,0.997101,0.998547,78.222134
여자,여자,,1,12854,686,2,0.997101,0.998547,78.333019
병원,병원,,0,14504,684,2,0.99422,0.997093,77.03445
많다,많다,,0,15010,688,1,1,1,79.112946
피,피,,1,12894,684,2,0.99422,0.997093,74.865452
임신,임신,,0,9590,654,2,0.952909,0.975291,61.876675
걱정,걱정,,0,11450,684,2,0.99422,0.997093,75.180524
ㅠ,ㅠ,,1,10416,682,2,0.991354,0.99564,75.88819
갈색,갈색,,1,10672,674,2,0.980057,0.989826,69.186354
안해,안해,,0,10960,670,2,0.974504,0.986919,70.355495
엄마,엄마,,1,9708,676,2,0.982857,0.991279,72.204072
ㅜㅜ,ㅜㅜ,,1,7836,668,2,0.971751,0.985465,68.442911
생리통,생리통,,0,9756,658,2,0.958217,0.978198,65.569733
냉,냉,,1,10970,666,2,0.969014,0.984012,68.622842
끝나다,끝나다,,0,11984,682,2,0.991354,0.99564,76.662768
처음,처음,,0,12312,684,2,0.99422,0.997093,75.561902
주,주,,0,11624,684,2,0.99422,0.997093,75.468014
냉이,냉이,,1,9272,674,2,0.980057,0.989826,72.171094
건가,건가,,1,8898,674,2,0.980057,0.989826,72.327598
배,배,,1,10142,680,2,0.988506,0.994186,75.551313
이번,이번,,0,11752,676,2,0.982857,0.991279,73.16749
주기,주기,,0,10476,668,2,0.971751,0.985465,68.424897
양,양,,0,9804,672,2,0.977273,0.988372,71.996116
날,날,,0,9962,678,2,0.985673,0.992733,71.46047
묻다,묻다,,1,9254,678,2,0.985673,0.992733,72.140593
그런,그런,,1,9056,680,2,0.988506,0.994186,74.762504
올해,올해,,0,7926,678,2,0.985673,0.992733,74.394271
괜찮다,괜찮다,,0,8652,678,2,0.985673,0.992733,74.739171
증상,증상,,1,7646,664,2,0.966292,0.982558,68.121607
....,....,,1,7010,662,2,0.963585,0.981105,68.560174
해,해,,0,8930,674,2,0.980057,0.989826,70.133898
일,일,,0,9392,682,2,0.991354,0.99564,75.742823
하루,하루,,1,7826,666,2,0.969014,0.984012,65.95284
다시,다시,,0,8824,680,2,0.988506,0.994186,72.633482
그런데,그런데,,0,8368,678,2,0.985673,0.992733,74.094638
팬티,팬티,,1,6540,648,2,0.945055,0.97093,65.646063
성관계,성관계,,0,7216,660,2,0.960894,0.979651,66.339996
산부인과,산부인과,,0,9360,666,2,0.969014,0.984012,68.111368
무슨,무슨,,0,7804,656,2,0.955556,0.976744,64.91132
죠,죠,,1,7194,668,2,0.971751,0.985465,70.15051
관계,관계,,0,7422,644,2,0.939891,0.968023,60.339439
생리대,생리대,,1,8010,656,2,0.955556,0.976744,64.918853
적다,적다,,0,9284,668,2,0.971751,0.985465,66.912856
몸,몸,,0,7048,672,2,0.977273,0.988372,70.601649
심하다,심하다,,0,8222,670,2,0.974504,0.986919,68.486742
약간,약간,,1,6218,650,2,0.947658,0.972384,61.602613
동안,동안,,0,7524,670,2,0.974504,0.986919,69.661914
1년,1년,,0,6686,650,2,0.947658,0.972384,59.178974
지나다,지나다,,0,7168,648,2,0.945055,0.97093,60.674321
무섭다,무섭다,,1,6746,650,2,0.947658,0.972384,63.100868
한지,한지,,0,7304,666,2,0.969014,0.984012,66.464333
에도,에도,,1,6874,662,2,0.963585,0.981105,65.750419
걸다,걸다,,0,6650,668,2,0.971751,0.985465,66.778191
하나요,하나요,,1,5444,658,2,0.958217,0.978198,64.051584
엔,엔,,0,7658,668,2,0.971751,0.985465,68.812339
뒤,뒤,,0,7250,668,2,0.971751,0.985465,69.920496
일주일,일주일,,0,6438,658,2,0.958217,0.978198,63.741683
가보다,가보다,,0,7294,656,2,0.955556,0.976744,64.57461
어제,어제,,1,6380,660,2,0.960894,0.979651,67.176289
가끔,가끔,,1,6620,660,2,0.960894,0.979651,63.764868
아,아,,1,7162,668,2,0.971751,0.985465,67.077156
냄새,냄새,,1,4592,596,2,0.882051,0.93314,46.164532
ㅠㅠㅠ,ㅠㅠㅠ,,0,5602,658,2,0.958217,0.978198,64.233099
질염,질염,,1,4662,598,2,0.884319,0.934593,47.517927
!,!,,0,5180,644,2,0.939891,0.968023,59.705626
작년,작년,,0,6486,660,2,0.960894,0.979651,65.524089
저번,저번,,0,6862,662,2,0.963585,0.981105,65.833114
불규칙하다,불규칙하다,,0,6942,656,2,0.955556,0.976744,62.201835
불안하다,불안하다,,0,6310,646,2,0.942466,0.969477,59.529099
야하다,야하다,,1,4878,656,2,0.955556,0.976744,64.846689
보통,보통,,0,5124,642,2,0.93733,0.96657,59.75378
개월,개월,,0,4710,610,2,0.898172,0.943314,47.352111
고요,고요,,1,5534,632,2,0.924731,0.959302,56.063764
라,라,,0,6458,662,2,0.963585,0.981105,68.891207
ㅜ,ㅜ,,1,3754,590,2,0.875318,0.928779,44.223719
이후,이후,,0,5090,632,2,0.924731,0.959302,52.169609
째,째,,0,5254,648,2,0.945055,0.97093,60.151567
늦다,늦다,,0,5266,644,2,0.939891,0.968023,59.593891
3일,3일,,0,5898,660,2,0.960894,0.979651,65.50808
시,시,,0,5030,648,2,0.945055,0.97093,61.189288
평소,평소,,1,5030,650,2,0.947658,0.972384,63.366916
참고,참고,,1,4794,650,2,0.947658,0.972384,63.630397
터지다,터지다,,0,5136,648,2,0.945055,0.97093,61.166278
질,질,,1,4616,598,2,0.884319,0.934593,44.891609
생식기,생식기,,1,2366,508,2,0.792627,0.869186,27.739034
~,~,,0,4490,644,2,0.939891,0.968023,63.141699
혈,혈,,1,5590,636,2,0.92973,0.962209,55.884206
피임,피임,,0,3884,594,2,0.879795,0.931686,45.203563
1월,1월,,0,4862,596,2,0.882051,0.93314,42.905219
갈다,갈다,,1,5766,640,2,0.934783,0.965116,59.618738
화장실,화장실,,1,4600,630,2,0.922252,0.957849,57.655485
얼마,얼마,,1,4174,624,2,0.914894,0.953488,52.947077
빼다,빼다,,0,4302,636,2,0.92973,0.962209,57.686533
닦다,닦다,,1,4018,608,2,0.895833,0.94186,50.588332
병,병,,0,4068,612,2,0.900524,0.944767,47.734188
쓰다,쓰다,,1,5468,658,2,0.958217,0.978198,66.803731
간지럽다,간지럽다,,1,2652,536,2,0.819048,0.889535,34.006026
아랫,아랫,,1,4304,600,2,0.886598,0.936047,45.523172
넣다,넣다,,1,3680,588,2,0.873096,0.927326,46.123457
빠르다,빠르다,,1,3422,600,2,0.886598,0.936047,44.512944
기다,기다,,0,4372,640,2,0.934783,0.965116,58.449403
마지막,마지막,,0,4728,644,2,0.939891,0.968023,59.431081
건,건,,0,3888,624,2,0.914894,0.953488,50.214186
8월,8월,,0,4084,592,2,0.877551,0.930233,42.252836
컵,컵,,0,1878,520,2,0.803738,0.877907,32.891468
규칙,규칙,,0,4840,610,2,0.898172,0.943314,45.786869
불규칙,불규칙,,0,4508,612,2,0.900524,0.944767,48.821991
이유,이유,,0,3540,600,2,0.886598,0.936047,45.12652
가능성,가능성,,0,3804,598,2,0.884319,0.934593,45.334747
2일,2일,,0,3908,586,2,0.870886,0.925872,39.40973
색,색,,1,3664,568,2,0.851485,0.912791,41.523011
자궁,자궁,,0,3182,564,2,0.847291,0.909884,37.450099
없이,없이,,1,3876,620,2,0.910053,0.950581,54.376095
정확하다,정확하다,,0,3812,618,2,0.907652,0.949128,50.866862
12월,12월,,0,3966,588,2,0.873096,0.927326,39.647713
조금씩,조금씩,,1,3654,602,2,0.888889,0.9375,44.021098
예정일,예정일,,0,4356,582,2,0.866499,0.922965,40.026035
땐,땐,,0,3910,614,2,0.902887,0.946221,49.30004
딱,딱,,0,3570,618,2,0.907652,0.949128,51.730498
최근,최근,,0,4162,618,2,0.907652,0.949128,49.626641
편이,편이,,0,3820,618,2,0.907652,0.949128,49.000834
콘돔,콘돔,,0,2788,510,2,0.794457,0.87064,26.139695
속옷,속옷,,1,3462,562,2,0.845209,0.90843,36.559727
써다,써다,,0,3576,604,2,0.891192,0.938953,46.297604
아주,아주,,1,3492,596,2,0.882051,0.93314,43.037465
다음,다음,,0,4028,622,2,0.912467,0.952035,49.381725
5일,5일,,0,3932,594,2,0.879795,0.931686,41.003247
유두,유두,,1,1186,402,2,0.706366,0.792151,13.489733
3월,3월,,0,4010,602,2,0.888889,0.9375,44.950698
사용,사용,,0,2602,554,2,0.836983,0.902616,35.929566
첫,첫,,0,3764,620,2,0.910053,0.950581,52.960923
",,",",,",,0,2058,518,2,0.801865,0.876453,26.830537
아예,아예,,0,3896,606,2,0.893506,0.940407,48.047756
거들다,거들다,,0,2946,586,2,0.870886,0.925872,41.195207
가야,가야,,0,3124,588,2,0.873096,0.927326,45.281612
중학생,중학생,,1,2148,546,2,0.828916,0.896802,33.767918
???,???,,1,2074,496,2,0.781818,0.860465,24.73944
탐폰,탐폰,,0,1900,484,2,0.7713,0.851744,22.566757
곧,곧,,1,2816,580,2,0.864322,0.921512,40.155183
아직도,아직도,,0,3164,578,2,0.862155,0.920058,40.705118
별로,별로,,0,2864,572,2,0.855721,0.915698,39.999671
덩어리,덩어리,,1,3080,554,2,0.836983,0.902616,32.5211
2월,2월,,0,3464,594,2,0.879795,0.931686,43.564711
그거,그거,,1,2918,598,2,0.884319,0.934593,48.884597
적도,적도,,0,3502,600,2,0.886598,0.936047,42.563505
4일,4일,,0,3444,578,2,0.862155,0.920058,38.09906
분비물,분비물,,1,2808,570,2,0.853598,0.914244,38.217328
양도,양도,,0,4048,608,2,0.895833,0.94186,44.925224
6월,6월,,0,2814,550,2,0.83293,0.899709,33.340567
그래도,그래도,,0,3242,608,2,0.895833,0.94186,48.134558
만에,만에,,0,3532,584,2,0.868687,0.924419,43.729132
!!,!!,,1,2540,566,2,0.849383,0.911337,38.345502
차다,차다,,1,3318,590,2,0.875318,0.928779,40.971442
...?,...?,,1,2820,586,2,0.870886,0.925872,43.522816
빨갛다,빨갛다,,1,2064,524,2,0.807512,0.880814,30.564979
이면,이면,,0,2714,576,2,0.86,0.918605,38.371999
세,세,,0,2246,524,2,0.807512,0.880814,27.328129
7월,7월,,0,3202,574,2,0.857855,0.917151,40.44344
남자친구,남자친구,,0,2372,498,2,0.783599,0.861919,24.333843
일이,일이,,0,3058,594,2,0.879795,0.931686,44.288884
ㅠㅠㅠㅠ,ㅠㅠㅠㅠ,,0,2638,556,2,0.839024,0.90407,34.129118
기간,기간,,0,3078,590,2,0.875318,0.928779,40.528924
허리,허리,,1,2758,532,2,0.815166,0.886628,31.054303
9월,9월,,0,3118,598,2,0.884319,0.934593,44.081007
끼다,끼다,,0,2610,564,2,0.847291,0.909884,37.445441
휴지,휴지,,1,2852,550,2,0.83293,0.899709,35.411111
4월,4월,,0,3112,570,2,0.853598,0.914244,38.782389
하얗다,하얗다,,1,2110,492,2,0.778281,0.857558,23.273781
이구,이구,,1,2254,548,2,0.830918,0.898256,34.510347
1일,1일,,0,2228,542,2,0.82494,0.893895,30.852084
투명하다,투명하다,,1,2386,544,2,0.826923,0.895349,30.112933
가면,가면,,0,2778,518,2,0.801865,0.876453,27.407438
여름,여름,,0,2280,458,2,0.749455,0.832849,18.706942
이틀,이틀,,0,2858,558,2,0.841076,0.905523,33.692757
이라도,이라도,,0,2442,528,2,0.811321,0.883721,28.367312
청소년,청소년,,0,2262,538,2,0.821002,0.890988,32.70976
맺다,맺다,,0,2118,490,2,0.776524,0.856105,22.801516
번하다,번하다,,0,1956,496,2,0.781818,0.860465,22.350863
줄다,줄다,,0,2150,546,2,0.828916,0.896802,32.069526
확인,확인,,0,2918,588,2,0.873096,0.927326,42.53203
달에,달에,,0,2816,512,2,0.796296,0.872093,22.269409
한적,한적,,0,2942,588,2,0.873096,0.927326,41.767509
심해지다,심해지다,,1,2458,506,2,0.790805,0.867733,24.697505
가기,가기,,1,2448,546,2,0.828916,0.896802,31.449472
ㅠㅜ,ㅠㅜ,,1,2180,534,2,0.817102,0.888081,32.373927
불순,불순,,0,2320,504,2,0.788991,0.866279,24.19148
삽입,삽입,,1,1972,500,2,0.785388,0.863372,25.322178
팬티라이너,팬티라이너,,1,2566,536,2,0.819048,0.889535,30.233116
색깔,색깔,,1,1820,448,2,0.741379,0.825581,15.499979
빠지다,빠지다,,0,1896,530,2,0.813239,0.885174,27.50834
월경,월경,,0,2160,508,2,0.792627,0.869186,24.917243
새다,새다,,1,2360,500,2,0.785388,0.863372,23.188463
급하다,급하다,,1,1876,514,2,0.798144,0.873547,28.832529
손가락,손가락,,1,1770,508,2,0.792627,0.869186,25.370019
5월,5월,,0,2298,522,2,0.805621,0.87936,24.351102
예요,예요,,1,1920,534,2,0.817102,0.888081,32.133177
노란색,노란색,,1,1934,496,2,0.781818,0.860465,24.551236
주일,주일,,0,1884,536,2,0.819048,0.889535,30.570234
까지도,까지도,,0,1988,514,2,0.798144,0.873547,25.605106
뭘,뭘,,1,2026,520,2,0.803738,0.877907,26.33434
잡히다,잡히다,,1,1358,390,2,0.697769,0.78343,9.933806
가지다,가지다,,0,2156,524,2,0.807512,0.880814,29.719899
이라서,이라서,,0,1684,490,2,0.776524,0.856105,21.833967
기다리다,기다리다,,0,1858,546,2,0.828916,0.896802,32.894682
피다,피다,,1,2184,510,2,0.794457,0.87064,28.34202
뛰다,뛰다,,0,2734,556,2,0.839024,0.90407,35.377299
죽다,죽다,,1,1754,502,2,0.787185,0.864826,23.923163
다이어트,다이어트,,0,2016,482,2,0.769575,0.850291,21.469531
투명,투명,,1,1992,480,2,0.767857,0.848837,20.21896
흰색,흰색,,1,1698,500,2,0.785388,0.863372,25.58887
배다,배다,,1,2406,540,2,0.822967,0.892442,30.978863
10월,10월,,0,2284,528,2,0.811321,0.883721,30.183147
밥,밥,,0,1716,460,2,0.751092,0.834302,17.824345
액체,액체,,1,1660,466,2,0.756044,0.838663,19.549539
한데,한데,,0,1798,528,2,0.811321,0.883721,29.429224
11월,11월,,0,2064,490,2,0.776524,0.856105,21.09922
젠,젠,,0,2060,510,2,0.794457,0.87064,24.679811
?(,?(,,1,1796,510,2,0.794457,0.87064,28.842149
긁다,긁다,,1,1296,412,2,0.713693,0.799419,14.407336
중간,중간,,0,1714,500,2,0.785388,0.863372,24.754556
쭉,쭉,,0,1578,454,2,0.746204,0.829942,15.483264
방학,방학,,0,2018,512,2,0.796296,0.872093,23.855009
10일,10일,,0,2500,544,2,0.826923,0.895349,29.04871
7일,7일,,0,2316,520,2,0.803738,0.877907,25.032012
며칠,며칠,,1,1630,504,2,0.788991,0.866279,26.542647
내일,내일,,1,1550,476,2,0.764444,0.84593,23.371401
많아지다,많아지다,,1,2148,514,2,0.798144,0.873547,26.744113
섞이다,섞이다,,1,2226,470,2,0.759382,0.84157,18.284705
지는,지는,,1,1952,516,2,0.8,0.875,27.983604
3년,3년,,0,1534,436,2,0.731915,0.81686,14.501202
복용,복용,,0,1632,484,2,0.7713,0.851744,21.777969
여드름,여드름,,1,1230,442,2,0.736617,0.821221,15.134784
초음파,초음파,,0,1942,492,2,0.778281,0.857558,21.158366
머리,머리,,1,1776,496,2,0.781818,0.860465,24.014699
양은,양은,,0,2654,534,2,0.817102,0.888081,29.86906
처녀막,처녀막,,1,820,334,2,0.660269,0.742733,6.568929
저녁,저녁,,1,1942,518,2,0.801865,0.876453,25.648751
노랗다,노랗다,,1,1564,448,2,0.741379,0.825581,17.786653
초반,초반,,0,1474,418,2,0.718163,0.803779,13.179015
어쩔,어쩔,,1,1656,476,2,0.764444,0.84593,21.468757
쯤에,쯤에,,0,1588,462,2,0.752735,0.835756,17.277738
후반,후반,,0,1464,420,2,0.719665,0.805233,13.423808
지난,지난,,0,1746,496,2,0.781818,0.860465,21.571214
