Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
크다,크다,,532,24046,1,1,1,1,49.9878
키,키,,532,20838,1,1,1,1,49.9878
가슴,가슴,,500,6320,1,2,0.943262,0.969925,40.948538
친구,친구,,528,12904,0,2,0.992537,0.996241,47.051961
cm,cm,,524,10562,1,2,0.985185,0.992481,47.791306
작다,작다,,532,13608,1,1,1,1,49.9878
살,살,,528,11196,0,2,0.992537,0.996241,46.183782
성,성,,530,12520,1,2,0.996255,0.99812,47.741103
안되다,안되다,,526,9314,1,2,0.988848,0.994361,47.323593
4,4,,526,10990,1,2,0.988848,0.994361,45.936202
애,애,,532,10668,0,1,1,1,49.9878
..?,..?,,530,7760,0,2,0.996255,0.99812,48.373432
털,털,,524,7358,1,2,0.985185,0.992481,45.727145
커지다,커지다,,516,8444,0,2,0.970803,0.984962,41.515367
크기,크기,,520,8726,0,2,0.977941,0.988722,43.76795
처럼,처럼,,516,7002,0,2,0.970803,0.984962,40.728828
이상,이상,,524,8346,0,2,0.985185,0.992481,43.802538
고추,고추,,476,3958,1,2,0.904762,0.947368,29.451872
스트레스,스트레스,,516,7330,0,2,0.970803,0.984962,41.769017
에요,에요,,528,6340,1,2,0.992537,0.996241,48.31937
어떡하다,어떡하다,,532,7002,0,1,1,1,49.9878
겨털,겨털,,530,9478,1,2,0.996255,0.99812,48.953227
성장,성장,,528,7888,1,2,0.992537,0.996241,47.669684
언제,언제,,520,6516,0,2,0.977941,0.988722,41.673014
멈추다,멈추다,,522,7742,0,2,0.98155,0.990602,43.658951
남학생,남학생,,500,5738,1,2,0.943262,0.969925,36.515535
빨리,빨리,,516,4504,1,2,0.970803,0.984962,43.212645
데,데,,520,8026,0,2,0.977941,0.988722,42.567068
고민,고민,,516,4812,1,2,0.970803,0.984962,42.272398
털다,털다,,528,8448,1,2,0.992537,0.996241,47.972522
밖에,밖에,,522,7322,1,2,0.98155,0.990602,42.839281
이르다,이르다,,520,6800,0,2,0.977941,0.988722,43.719604
지,지,,510,6794,0,2,0.960289,0.979323,38.357692
궁금하다,궁금하다,,516,6708,0,2,0.970803,0.984962,40.476803
넘다,넘다,,516,6206,1,2,0.970803,0.984962,41.69713
이런,이런,,500,6076,0,2,0.943262,0.969925,33.979073
차,차,,500,5482,1,2,0.943262,0.969925,40.53449
살짝,살짝,,510,4546,0,2,0.960289,0.979323,38.925756
니까,니까,,516,5078,0,2,0.970803,0.984962,41.372942
남다,남다,,510,3772,1,2,0.960289,0.979323,42.143683
보이다,보이다,,510,6212,0,2,0.960289,0.979323,37.941586
이렇게,이렇게,,520,5668,0,2,0.977941,0.988722,43.583663
마다,마다,,498,4668,0,2,0.939929,0.968045,36.327916
징,징,,518,7000,1,2,0.974359,0.986842,41.310302
올라가다,올라가다,,512,7130,0,2,0.963768,0.981203,39.642372
어느,어느,,492,4388,0,2,0.93007,0.962406,34.971041
몸무게,몸무게,,530,8020,1,2,0.996255,0.99812,48.373432
운동,운동,,494,3700,1,2,0.933333,0.964286,38.989838
아침,아침,,474,4038,0,2,0.901695,0.945489,26.15995
변성기,변성기,,520,7390,0,2,0.977941,0.988722,43.0852
길이,길이,,470,3644,1,2,0.895623,0.941729,25.32499
