Id,Label,timeset,modularity_class,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
생리,생리,,0,1926,100166,2,0.967022,0.982949,347.295337
나오다,나오다,,0,1990,83288,2,0.997998,0.998997,401.176969
크다,크다,,2,1976,52926,2,0.991054,0.995486,396.273945
키,키,,2,1894,41448,2,0.952245,0.974925,309.564027
아프다,아프다,,0,1962,48236,2,0.984205,0.991976,373.077325
자위,자위,,1,1948,36848,2,0.977451,0.988465,363.997111
시작,시작,,0,1972,55264,2,0.989087,0.994483,379.760574
가슴,가슴,,2,1826,19856,2,0.922294,0.957874,272.093144
친구,친구,,2,1960,33974,2,0.983235,0.991474,373.913038
남자,남자,,1,1958,33262,2,0.982266,0.990973,371.268072
초경,초경,,0,1812,27636,2,0.91636,0.954363,273.923096
cm,cm,,2,1820,21032,2,0.919742,0.956369,285.27084
자다,자다,,1,1986,39512,2,0.996004,0.997994,396.786581
먹다,먹다,,0,1950,29428,2,0.97841,0.988967,362.704948
여학생,여학생,,0,1898,32418,2,0.954067,0.975928,322.041738
여자,여자,,0,1968,29916,2,0.987129,0.99348,374.400727
성기,성기,,1,1842,18586,2,0.929171,0.961886,313.817125
작다,작다,,2,1898,27492,2,0.954067,0.975928,329.330363
병원,병원,,0,1944,31168,2,0.975538,0.987462,357.354532
많다,많다,,0,1988,35816,2,0.997,0.998495,409.197805
피,피,,0,1872,22406,2,0.942344,0.969408,302.568776
임신,임신,,0,1718,17780,2,0.878414,0.930792,216.803908
살,살,,2,1974,32446,2,0.99007,0.994985,380.601798
성,성,,2,1946,28196,2,0.976494,0.987964,353.701497
걱정,걱정,,0,1980,27908,2,0.993028,0.996489,397.814818
ㅠ,ㅠ,,0,1952,22678,2,0.979371,0.989468,370.509162
갈색,갈색,,0,1710,16614,2,0.875329,0.928786,215.262873
안해,안해,,0,1840,20042,2,0.928305,0.961384,298.551506
안되다,안되다,,2,1962,28008,2,0.984205,0.991976,380.074877
좋다,좋다,,1,1964,26392,2,0.985178,0.992477,375.767825
엄마,엄마,,0,1922,24176,2,0.96515,0.981946,335.432867
ㅜㅜ,ㅜㅜ,,0,1910,16324,2,0.959577,0.978937,336.877677
생리통,생리통,,0,1656,16372,2,0.85506,0.915246,192.313087
냉,냉,,0,1716,18030,2,0.877641,0.930291,224.047904
끝나다,끝나다,,0,1914,23498,2,0.961427,0.97994,339.735228
처음,처음,,0,1948,26252,2,0.977451,0.988465,359.881917
4,4,,2,1970,30650,2,0.988107,0.993982,385.225366
주,주,,0,1922,22938,2,0.96515,0.981946,344.155906
성인,성인,,1,1870,14412,2,0.941454,0.968907,311.817338
애,애,,2,1888,23230,2,0.949524,0.97342,319.224033
..?,..?,,2,1950,22330,2,0.97841,0.988967,367.911911
냉이,냉이,,0,1700,15074,2,0.871503,0.926279,214.00778
건가,건가,,0,1922,20926,2,0.96515,0.981946,340.025858
털,털,,2,1724,14548,2,0.880742,0.932297,227.796039
학생,학생,,1,1954,20724,2,0.980334,0.98997,372.787009
배,배,,0,1870,21002,2,0.941454,0.968907,296.814856
이번,이번,,0,1902,21058,2,0.955896,0.976931,319.836756
실명,실명,,1,1800,10966,2,0.911335,0.951354,275.506132
인증,인증,,1,1800,10966,2,0.911335,0.951354,275.506132
