Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,modularity_class,eigencentrality
"생리",생리,,345,1,1,1,1643.098475,9166,0,1
"나오다",나오다,,341,2,0.988539,0.994203,1527.525004,6920,1,0.99613
"시작",시작,,322,2,0.9375,0.966667,1277.645386,4508,0,0.964126
"초경",초경,,310,2,0.907895,0.949275,1120.133327,3282,0,0.940276
"냉이",냉이,,290,2,0.8625,0.92029,890.927448,2962,1,0.906751
"갈색",갈색,,287,2,0.856079,0.915942,871.179448,2888,1,0.893543
"냉",냉,,279,2,0.839416,0.904348,763.240513,2700,1,0.884923
"피",피,,272,2,0.825359,0.894203,684.114136,2372,0,0.871615
"묻다",묻다,,267,2,0.815603,0.886957,661.310146,2676,1,0.856688
"엄마",엄마,,279,2,0.839416,0.904348,736.794689,2430,1,0.889281
"ㅠ",ㅠ,,291,2,0.864662,0.921739,906.123587,2130,0,0.906472
"팬티",팬티,,263,2,0.807963,0.881159,628.994166,2030,1,0.846473
"여학생",여학생,,274,2,0.829327,0.897101,731.035328,2294,1,0.8779
"생리대",생리대,,249,2,0.782313,0.86087,531.779898,1722,0,0.818571
"처음",처음,,257,2,0.796767,0.872464,542.614437,1740,0,0.84598
"걱정",걱정,,219,2,0.732484,0.817391,366.943627,1386,0,0.7469
"생리통",생리통,,196,2,0.698381,0.784058,257.440558,1046,0,0.688181
"언제",언제,,223,2,0.738758,0.823188,387.507166,1514,1,0.754212
"!","!",,225,2,0.741935,0.826087,370.032981,1148,0,0.772131
"이번",이번,,244,2,0.773543,0.853623,531.705116,1564,0,0.802732
"끝나다",끝나다,,209,2,0.717256,0.802899,342.122208,1376,0,0.71474
..?,..?,,215,2,0.726316,0.811594,353.422835,1242,1,0.737915
"ㅜㅜ",ㅜㅜ,,185,2,0.683168,0.768116,253.09458,972,0,0.652514
"ㅜ",ㅜ,,204,2,0.709877,0.795652,299.347216,960,0,0.710938
"정상",정상,,194,2,0.695565,0.781159,276.829087,1160,2,0.681264
"올해",올해,,204,2,0.709877,0.795652,340.434426,1304,2,0.701123
"그런데",그런데,,208,2,0.715768,0.801449,332.174595,1224,2,0.714961
"건가",건가,,223,2,0.738758,0.823188,352.75838,1176,0,0.770504
"생기다",생기다,,178,2,0.673828,0.757971,211.946765,996,2,0.635405
"안해",안해,,185,2,0.683168,0.768116,233.959223,882,0,0.644315
"질염",질염,,168,2,0.66092,0.743478,168.764352,836,1,0.604693
"생식기",생식기,,182,2,0.679134,0.763768,211.043385,826,1,0.638603
"주",주,,194,2,0.695565,0.781159,263.07928,996,0,0.678088
"하나요",하나요,,221,2,0.735608,0.82029,368.109601,1008,0,0.754893
"주기",주기,,206,2,0.71281,0.798551,302.75118,1044,0,0.710195
"속옷",속옷,,211,2,0.720251,0.805797,306.750843,1192,1,0.725867
"양",양,,212,2,0.721757,0.807246,325.302065,1070,0,0.732786
"죠",죠,,188,2,0.687251,0.772464,273.954325,948,1,0.650824
"인지",인지,,154,2,0.643657,0.723188,175.645309,774,2,0.551195
"아",아,,199,2,0.702648,0.788406,249.992283,1080,1,0.708296
"날",날,,217,2,0.729387,0.814493,386.196472,1068,0,0.739022
"엔",엔,,232,2,0.753275,0.836232,411.300603,1282,0,0.788385
"무슨",무슨,,184,2,0.681818,0.766667,233.398979,892,0,0.651118
"어제",어제,,192,2,0.692771,0.778261,259.031345,958,0,0.669299
"빨리",빨리,,192,2,0.692771,0.778261,295.968968,912,0,0.655686
"저번",저번,,177,2,0.672515,0.756522,224.185051,884,0,0.631408
"학교",학교,,201,2,0.705521,0.791304,299.043139,1032,0,0.692795
"적다",적다,,208,2,0.715768,0.801449,289.767566,972,0,0.722101
"닦다",닦다,,194,2,0.695565,0.781159,270.708035,990,1,0.67046
"니까",니까,,201,2,0.705521,0.791304,282.410478,982,1,0.704463
"어떡하다",어떡하다,,216,2,0.727848,0.813043,390.144659,924,0,0.72817
"괜찮다",괜찮다,,195,2,0.69697,0.782609,259.29509,940,0,0.68652
100,100,,153,2,0.642458,0.721739,138.622051,852,2,0.565875
"학생",학생,,164,2,0.655894,0.737681,189.21778,908,2,0.58797
"여",여,,171,2,0.66474,0.747826,162.06167,740,1,0.6255
"한지",한지,,179,2,0.675147,0.75942,247.255577,854,0,0.61952
"질",질,,142,2,0.629562,0.705797,106.4897,512,1,0.53141
"간지럽다",간지럽다,,150,2,0.638889,0.717391,122.207529,592,1,0.548875
"그런",그런,,188,2,0.687251,0.772464,225.653442,852,0,0.667393
"냄새",냄새,,155,2,0.64486,0.724638,139.631507,710,1,0.554851
"보통",보통,,175,2,0.669903,0.753623,189.03736,704,0,0.629655
"째",째,,171,2,0.66474,0.747826,202.185728,792,0,0.606251
"에요",에요,,154,2,0.643657,0.723188,135.863926,632,1,0.562945
"혈",혈,,121,2,0.606327,0.675362,75.824512,478,0,0.454855
"궁금하다",궁금하다,,162,2,0.653409,0.734783,171.2938,812,2,0.584487
"부탁드리다",부탁드리다,,163,2,0.654649,0.736232,169.085927,664,0,0.592106
"약간",약간,,147,2,0.635359,0.713043,123.151067,666,1,0.538577
"색",색,,163,2,0.654649,0.736232,162.420973,734,1,0.58141
"노랗다",노랗다,,162,2,0.653409,0.734783,179.048169,972,2,0.579979
"음모",음모,,154,2,0.643657,0.723188,127.039238,732,1,0.564604
"ㅠㅠㅠ",ㅠㅠㅠ,,157,2,0.64728,0.727536,142.724945,628,0,0.574406
"빠르다",빠르다,,130,2,0.616071,0.688406,92.829848,514,0,0.490692
"법",법,,142,2,0.629562,0.705797,126.603603,546,0,0.518364
"작년",작년,,163,2,0.654649,0.736232,135.609686,666,0,0.609437
3일,3일,,161,2,0.652174,0.733333,161.207953,590,0,0.582348
"개월",개월,,154,2,0.643657,0.723188,129.485304,646,1,0.570833
"탐폰",탐폰,,103,2,0.587734,0.649275,70.679174,350,0,0.368422
