Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,eigencentrality
"아프다",아프다,,146,956,2,0.872449,0.926901,363.263032,3,0.96522
"자위",자위,,159,940,2,0.934426,0.964912,500.945943,1,1
"증상",증상,,116,526,2,0.756637,0.839181,115.695775,0,0.879729
"성기",성기,,119,436,2,0.766816,0.847953,150.983549,3,0.884003
"많다",많다,,139,634,2,0.842365,0.906433,282.339731,0,0.94824
"배",배,,114,512,2,0.75,0.833333,114.195308,0,0.868415
"느낌",느낌,,135,598,2,0.826087,0.894737,265.924773,1,0.936436
"소변",소변,,105,370,2,0.721519,0.807018,73.092493,0,0.838126
-,-,,96,262,2,0.695122,0.780702,34.85489,0,0.812787
"씻다",씻다,,106,380,2,0.724576,0.809942,201.666715,1,0.653379
"심하다",심하다,,129,522,2,0.802817,0.877193,210.062053,0,0.916784
"걸다",걸다,,106,342,2,0.724576,0.809942,207.003033,1,0.660381
"손",손,,72,270,2,0.633333,0.710526,72.891158,1,0.431427
"뭔가",뭔가,,114,384,2,0.75,0.833333,106.861474,0,0.874432
"이상",이상,,104,362,2,0.718487,0.804094,56.215398,0,0.838218
"오줌",오줌,,128,468,2,0.799065,0.874269,217.636789,1,0.908344
"에도",에도,,126,468,2,0.791667,0.868421,168.454039,0,0.913641
"이렇게",이렇게,,105,346,2,0.721519,0.807018,62.44792,0,0.842165
"동안",동안,,118,388,2,0.763393,0.845029,106.381172,0,0.895137
"상태",상태,,126,430,2,0.791667,0.868421,181.32166,3,0.907826
"주다",주다,,108,382,2,0.730769,0.815789,78.166104,0,0.852798
"대해",대해,,74,222,2,0.63806,0.716374,70.014936,3,0.489236
"겁니다",겁니다,,142,482,2,0.855,0.915205,304.141006,1,0.954048
"주사",주사,,45,146,2,0.575758,0.631579,20.955686,3,0.302823
"와",와,,119,422,2,0.766816,0.847953,147.137145,0,0.884714
"통증",통증,,123,420,2,0.780822,0.859649,158.536257,3,0.8971
"자궁경부암",자궁경부암,,30,84,2,0.548077,0.587719,7.41746,3,0.222356
"제발",제발,,72,232,2,0.633333,0.710526,76.587959,1,0.439136
"불편하다",불편하다,,104,296,2,0.718487,0.804094,67.687188,0,0.832284
"시",시,,121,324,2,0.773756,0.853801,166.797108,2,0.884994
"달다",달다,,92,290,2,0.684,0.769006,135.436132,1,0.598186
"아랫",아랫,,93,302,2,0.686747,0.77193,28.884763,0,0.792669
"가끔",가끔,,95,270,2,0.692308,0.777778,40.366224,0,0.803652
"지다",지다,,67,202,2,0.621818,0.695906,60.55115,1,0.44247
"어느",어느,,99,276,2,0.703704,0.789474,53.397742,0,0.816572
"분",분,,105,288,2,0.721519,0.807018,76.218949,0,0.837284
"자연",자연,,20,72,2,0.531056,0.55848,2.629947,3,0.121311
"자주",자주,,103,286,2,0.715481,0.80117,61.883967,0,0.837841
"경우",경우,,104,292,2,0.718487,0.804094,72.577971,0,0.827013
"보이다",보이다,,80,244,2,0.652672,0.733918,86.653779,1,0.510262
"새다",새다,,41,102,2,0.568106,0.619883,13.216385,1,0.307575
"아직도",아직도,,58,184,2,0.602113,0.669591,48.908536,1,0.356292
"마지막",마지막,,108,320,2,0.730769,0.815789,72.559569,0,0.85569
"올라가다",올라가다,,95,232,2,0.692308,0.777778,26.881191,0,0.810365
"도와주다",도와주다,,63,202,2,0.612903,0.684211,50.829156,1,0.393481
"뭔",뭔,,51,140,2,0.587629,0.649123,31.461136,3,0.353577
"구멍",구멍,,45,112,2,0.575758,0.631579,18.572277,1,0.292273
"이라고",이라고,,94,256,2,0.689516,0.774854,33.304489,0,0.800531
"누르다",누르다,,103,290,2,0.715481,0.80117,80.473455,0,0.821256
"어디",어디,,67,172,2,0.621818,0.695906,73.260006,2,0.419923
"앉다",앉다,,100,312,2,0.706612,0.792398,39.171938,0,0.832124
"검사",검사,,87,224,2,0.670588,0.754386,10.193572,0,0.773129
"일어나다",일어나다,,99,268,2,0.703704,0.789474,45.069521,0,0.81622
"심해지다",심해지다,,91,252,2,0.681275,0.766082,17.607523,0,0.787444
"죽다",죽다,,53,134,2,0.591696,0.654971,39.520578,2,0.337318
"자꾸",자꾸,,46,112,2,0.577703,0.634503,19.345021,3,0.322579
"거들다",거들다,,57,138,2,0.6,0.666667,38.728806,2,0.378329
"자궁",자궁,,36,94,3,0.557003,0.604288,8.156821,0,0.27272
"올리다",올리다,,95,260,2,0.692308,0.777778,40.776193,0,0.795907
"편",편,,94,252,2,0.689516,0.774854,23.295472,0,0.806419
"사이",사이,,97,244,2,0.697959,0.783626,36.536678,0,0.811383
?(,?(,,42,110,2,0.57,0.622807,12.08967,3,0.306815
"바로",바로,,114,312,2,0.75,0.833333,110.416472,1,0.866577
"하지만",하지만,,89,238,2,0.675889,0.760234,10.084791,0,0.787116
"최근",최근,,92,242,2,0.684,0.769006,22.348594,0,0.791479
"잠",잠,,99,254,2,0.703704,0.789474,45.189761,0,0.813875
"양도",양도,,98,244,2,0.70082,0.78655,42.546849,0,0.809588
"사실",사실,,90,240,2,0.678571,0.763158,23.13959,0,0.78333
"비슷하다",비슷하다,,38,80,2,0.5625,0.611111,15.911623,3,0.270469
50,50,,31,86,2,0.549839,0.590643,7.836782,1,0.19434
"거리",거리,,41,104,2,0.568106,0.619883,18.314327,3,0.282942
"어떻",어떻,,28,70,2,0.544586,0.581871,5.489795,3,0.19391
"남다",남다,,31,88,2,0.549839,0.590643,11.744398,3,0.205874
3~4,3~4,,86,196,2,0.667969,0.751462,12.1222,0,0.763851
"안쪽",안쪽,,37,92,2,0.560656,0.608187,17.183714,1,0.253888
"겨울방학",겨울방학,,42,116,2,0.57,0.622807,11.833849,3,0.297597
"저녁",저녁,,105,270,2,0.721519,0.807018,90.386635,0,0.821717
"부위",부위,,44,114,2,0.573826,0.628655,14.942523,3,0.308759
"확실하다",확실하다,,97,254,2,0.697959,0.783626,33.526245,0,0.812805
"내다",내다,,94,228,2,0.689516,0.774854,30.017502,0,0.796729
",,,",",,,",,44,102,2,0.573826,0.628655,14.053987,1,0.280291
"힘",힘,,91,242,2,0.681275,0.766082,22.127172,0,0.7872
"신",신,,29,74,2,0.546326,0.584795,5.01612,3,0.207086
"힘들다",힘들다,,91,230,2,0.681275,0.766082,19.74185,0,0.787332
"기억",기억,,104,240,2,0.718487,0.804094,67.924081,0,0.836972
16,16,,30,72,2,0.548077,0.587719,6.491468,3,0.218941
"밤",밤,,45,106,2,0.575758,0.631579,19.911862,1,0.278004
"가만히",가만히,,38,88,2,0.5625,0.611111,15.597504,3,0.267109
"간",간,,96,226,2,0.695122,0.780702,38.808223,0,0.811072
"상",상,,92,232,2,0.684,0.769006,26.047744,0,0.792758
"몇번",몇번,,38,90,2,0.5625,0.611111,15.370444,3,0.25592
"발견",발견,,102,252,2,0.7125,0.798246,70.818772,0,0.82003
"지속",지속,,94,256,2,0.689516,0.774854,27.681213,0,0.801058
"지고",지고,,52,128,2,0.589655,0.652047,28.573897,1,0.324062
"오르다",오르다,,30,64,2,0.548077,0.587719,5.882493,2,0.200363
"줄이다",줄이다,,25,54,2,0.539432,0.573099,4.731527,3,0.180034
90,90,,55,126,2,0.595819,0.660819,37.500533,1,0.32793
"지는",지는,,41,94,2,0.568106,0.619883,16.442556,3,0.287777
"미치다",미치다,,41,118,2,0.568106,0.619883,6.879497,1,0.258857
"생일",생일,,25,50,2,0.539432,0.573099,2.017016,1,0.200899
"소",소,,87,208,2,0.670588,0.754386,8.815668,0,0.774573
"!)","!)",,20,44,2,0.531056,0.55848,2.00027,3,0.131156
"상황",상황,,35,70,2,0.557003,0.602339,2.976166,1,0.223012
"겉",겉,,16,40,2,0.52454,0.546784,2.210546,1,0.121849
"꽤",꽤,,85,178,2,0.66537,0.748538,7.509529,0,0.761561
"제일",제일,,87,186,2,0.670588,0.754386,8.112417,0,0.777057
"참다",참다,,88,210,2,0.673228,0.75731,23.602102,0,0.769068
"신경",신경,,94,232,2,0.689516,0.774854,25.729109,0,0.800202
"아무렇다",아무렇다,,89,214,2,0.675889,0.760234,15.845739,0,0.778633
"옆쪽",옆쪽,,22,64,2,0.534375,0.564327,3.624812,3,0.15146
"넣다",넣다,,33,72,2,0.553398,0.596491,9.814917,2,0.205217
"완전하다",완전하다,,88,196,2,0.673228,0.75731,18.17403,0,0.771715
"엇",엇,,36,82,2,0.558824,0.605263,7.573642,1,0.212629
"쭉",쭉,,86,188,2,0.667969,0.751462,8.343307,0,0.765647
"간격",간격,,86,198,2,0.667969,0.751462,11.5763,0,0.765156
"방울",방울,,90,208,2,0.678571,0.763158,13.855727,0,0.790291
"다가",다가,,42,94,2,0.57,0.622807,25.331828,2,0.266187
"거든요",거든요,,25,56,2,0.539432,0.573099,1.003873,3,0.166713
"볼",볼,,83,180,2,0.660232,0.74269,0.67864,0,0.75796
"뒤쪽",뒤쪽,,29,74,2,0.546326,0.584795,10.421572,3,0.185595
7시,7시,,98,234,2,0.70082,0.78655,43.024556,0,0.808888
"그대로",그대로,,83,172,2,0.660232,0.74269,3.107515,0,0.753811
"아픔",아픔,,34,82,2,0.555195,0.599415,14.929007,1,0.237037
"포경",포경,,95,418,2,0.692308,0.777778,158.12686,3,0.579105
"발기",발기,,123,410,2,0.780822,0.859649,161.447002,3,0.90075
"포경수술",포경수술,,72,304,2,0.633333,0.710526,70.099567,3,0.457832
"정액",정액,,119,350,2,0.766816,0.847953,139.118272,1,0.884266
"귀두",귀두,,113,360,2,0.746725,0.830409,117.446699,3,0.857294
"사정",사정,,88,224,2,0.673228,0.75731,16.914138,0,0.77512
"다리",다리,,110,276,2,0.737069,0.821637,88.265633,1,0.854874
"껍질",껍질,,34,94,2,0.555195,0.599415,10.703505,3,0.215753
"위",위,,92,220,2,0.684,0.769006,22.732722,0,0.796162
"놓다",놓다,,105,286,2,0.721519,0.807018,79.109493,3,0.83196
"요도",요도,,85,182,2,0.66537,0.748538,5.473525,0,0.764987
"염",염,,90,198,2,0.678571,0.763158,18.150212,0,0.782573
"인하다",인하다,,96,222,2,0.695122,0.780702,48.954539,0,0.795182
"문",문,,89,200,2,0.675889,0.760234,23.278012,0,0.775429
"변기",변기,,107,274,2,0.72766,0.812865,72.61788,1,0.846205
"현",현,,83,182,2,0.660232,0.74269,0.584912,0,0.758676
"지면",지면,,40,120,2,0.566225,0.616959,6.417926,1,0.247589
"젖히다",젖히다,,36,96,2,0.558824,0.605263,13.730529,3,0.212916
"마취",마취,,40,138,2,0.566225,0.616959,8.942653,3,0.270866
"포피",포피,,35,90,2,0.557003,0.602339,16.583685,3,0.21793
"고통",고통,,60,148,2,0.606383,0.675439,49.958772,3,0.353728
"진성",진성,,33,86,2,0.553398,0.596491,9.322795,3,0.201572
"일본뇌염",일본뇌염,,10,30,3,0.511976,0.52729,0.081667,3,0.070488
"벗기다",벗기다,,19,42,2,0.529412,0.555556,2.476579,3,0.121364
"찝찝하다",찝찝하다,,63,212,2,0.612903,0.684211,43.858385,1,0.394076
"벌리다",벌리다,,32,74,2,0.551613,0.593567,6.425666,1,0.212976
"오래",오래,,58,132,2,0.602113,0.669591,40.395955,2,0.391363
"처녀막",처녀막,,18,36,2,0.527778,0.552632,0,1,0.114343
"싸다",싸다,,30,102,2,0.548077,0.587719,7.655568,1,0.224062
"볼때",볼때,,21,54,2,0.53271,0.561404,3.473892,1,0.16145
"반복",반복,,42,90,3,0.568106,0.621832,18.982989,1,0.251812
"나타나다",나타나다,,20,52,3,0.529412,0.557505,1.536832,0,0.166941
"좋아지다",좋아지다,,26,58,2,0.541139,0.576023,3.912831,1,0.161792
"건강",건강,,24,52,2,0.537736,0.570175,2.229932,1,0.161588
?),?),,20,48,2,0.531056,0.55848,3.439398,1,0.132521
"안다",안다,,35,78,2,0.557003,0.602339,6.792432,2,0.242688
"닿다",닿다,,48,112,2,0.581633,0.640351,19.847416,1,0.296767
"서다",서다,,33,78,2,0.553398,0.596491,5.411174,2,0.23469
"휴대폰",휴대폰,,33,96,2,0.553398,0.596491,1.865686,1,0.184522
"야동",야동,,17,44,3,0.52454,0.548733,4.816934,1,0.107926
"쿠퍼액",쿠퍼액,,26,62,2,0.541139,0.576023,5.226095,1,0.158696
"처리",처리,,34,100,2,0.555195,0.599415,2.330309,1,0.19411
"뒷",뒷,,43,128,2,0.571906,0.625731,10.545993,1,0.259754
"염증",염증,,36,78,2,0.558824,0.605263,8.278477,1,0.256545
"일어나서",일어나서,,37,80,2,0.560656,0.608187,9.301912,2,0.258215
6시,6시,,28,56,2,0.544586,0.581871,4.254296,2,0.186429
"ㅏ",ㅏ,,23,46,2,0.53605,0.567251,1.635578,2,0.140889
"원",원,,29,78,2,0.546326,0.584795,11.817614,3,0.171577
"돌리다",돌리다,,26,74,2,0.541139,0.576023,7.275805,3,0.15296
